"","METHOD","REGION","OBS_YEAR","ISLAND","SITE","REEF_ZONE","SITEVISITID","AVG_SITE_DEPTH_M","DEPTH_BIN","ACAS","ACBR","ACPH","ACTA","AMNE","AMSP","ANTI","ASPP","ASSP","ASTS","AVSP","BGMA","BI","BR","BRMA","BRY","CAUL","CCAH","CCAR","CHLS","CMOR","COL","COSP","COTS","CYPS","DICO","DICT","DISP","ECHL","ECHP","EMA","ENC","EUSP","FASP","FAVS","FINE","FOL","FREE","FUSP","GALI","GALS","GASP","GC","GONS","GOSP","GRMA","HALI","HARD","HCOE","HYCO","HYSP","ISSP","LEPS","LEPT","LESP","LOBO","LOBS","LOSY","MASS","MESP","MICR","MISP","MOBR","MOEN","MOFO","MONE","NEOM","NS","OCTO","OUSP","PACS","PADI","PAEN","PAFO","PAMA","PAVS","PESP","PHSP","PLER","PLLE","PLSP","POBR","POCS","POEN","POFO","POMA","PONM","PSSP","RDMA","RUB","SAND","SG","SP","STYS","SYSP","TAB","TUN","TURFH","TURFR","TURS","UI","UPMA","USC","ZO","N","new.N","MISSIONID","DATE_","SEC_NAME","LATITUDE_LOV","LONGITUDE_LOV","ANALYSIS_YEAR","ANALYSIS_SCHEME","TRANSECT_PHOTOS","EXCLUDE_FLAG"
"1","CPCE","MHI",2010,"Hawaii","HAW-00111","Forereef",3165,4,"Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,3.533568905,0,0,0,1.060070671,0,0,0,0,0,0,0,0,0,0,0,0,0.706713781,4.240282686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.10954064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.480565371,0,0,0,0,0,0,38.51590106,0.35335689,0,0,0,0,0,300,283,"HA1008","10/12/2010","HAW_KONA",19.93578823,-155.8781193,"2010-12","RAMP_BASIC",-1,0
"2","CPCE","MHI",2010,"Hawaii","HAW-00136","Forereef",3140,12,"Mid",0,0,0,0,0,0,0,0,0,0,0,0,0,0.735294118,0,0,0,17.64705882,2.573529412,0,0,0,0,0,0,0,0,0,0,0,5.882352941,0.735294118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.367647059,0,0,0,0,0,0,0,0,0,0,0,7.720588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.102941176,0,0,0,0,0,0,59.55882353,1.470588235,0,0,2.205882353,0,0,300,272,"HA1008","10/10/2010","HAW_PUNA",19.66447676,-154.9769788,"2010-12","RAMP_BASIC",-1,0
"3","CPCE","MHI",2010,"Hawaii","HAW-00138","Forereef",3170,27,"Deep",0,0,0,0,0,0,0,0,0,0,0,3.249097473,0,7.220216606,0,0,0,12.63537906,0,0,0,0,0,0,0,0,0,0,0,0,9.386281588,4.693140794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.722021661,0,0,0,0,0,0,0,0,0,0,0,4.332129964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.083032491,5.415162455,0,0,0,0,0,0,50.54151625,0,0,0,0.722021661,0,0,300,277,"HA1008","10/13/2010","HAW_KONA",19.10705287,-155.9163557,"2010-12","RAMP_BASIC",-1,0
"4","CPCE","MHI",2013,"Hawaii","HAW-01402","Forereef",5936,22.24931423,"Deep",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.409638554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803212851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.401606426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.803212851,0,0,0.401606426,0,0,0,0,4.417670683,0,0,0,0,0,0,85.54216867,5.220883534,0,0,0,0,0,260,249,"HA1304","8/3/2013","HAW_HAMAKUA",20.2405,-155.75785,"2013","RAMP_BASIC",-1,0
"5","CPCE","MHI",2013,"Hawaii","HAW-01411","Forereef",5937,12.80097531,"Mid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65448505,0,0,0,0,0,0,0,0,0,0,0,0,0.996677741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664451827,0,0,0,0,0,0,0,1.328903654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.322259136,0,0,2.990033223,0.664451827,0,0,0,0,0,0.332225914,0,0,0,0,86.04651163,0,0,0,0,0,0,310,301,"HA1304","8/3/2013","HAW_HAMAKUA",20.23514229,-155.7517892,"2013","RAMP_BASIC",-1,0
"6","CPCE","MHI",2013,"Hawaii","HAW-01448","Forereef",5939,13.71533069,"Mid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.384083045,0,0,0,0,0,0,0,0,0,0,0,0,0.346020761,0.346020761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.346020761,0,0,0,0,0,0,0,0.346020761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.076124567,0,0,6.574394464,5.882352941,0,0,0,0.692041522,0,0,0,0,0,0,81.66089965,0.346020761,0,0,0,0,0,300,289,"HA1304","8/3/2013","HAW_HAMAKUA",20.25085609,-155.7918375,"2013","RAMP_BASIC",-1,0
"7","CPCE","MHI",2010,"Hawaii","HAW-00146","Forereef",3123,22,"Deep",0,0,0,0,0,0,0,0,0,0,0,0,0,1.030927835,0,0,0,3.780068729,0.343642612,0,0,0,0,0,0,0,0,0,0,0,2.405498282,0.687285223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.030927835,0,0,0,0,0,0,0,0,0,0,0.343642612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.06185567,0,0,0,0,0,0,84.53608247,1.718213058,0,0,2.06185567,0,0,300,291,"HA1008","10/8/2010","HAW_HAMAKUA",20.23945042,-155.7513162,"2010-12","RAMP_BASIC",-1,0
"8","CPCE","MHI",2013,"Hawaii","HAW-01468","Forereef",5938,6.400487656,"Mid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.341137124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.337792642,0,0,10.03344482,0.668896321,0,0,0,5.016722408,0,0,0,0,0,0,80.60200669,0,0,0,0,0,0,320,299,"HA1304","8/3/2013","HAW_HAMAKUA",20.24428267,-155.8900548,"2013","RAMP_BASIC",-1,0
"9","CPCE","MHI",2013,"Hawaii","HAW-01476","Forereef",5942,6.09570253,"Shallow",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.886925795,0,0,0,0,0,0,0,0,0,0,0,0,0.35335689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.706713781,0,0,0,0,0,0,0,0.706713781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.36749117,0,0,1.766784452,1.060070671,0,0,0,0,0,0,0,0,0,0,78.79858657,0,0,0,0.35335689,0,0,300,283,"HA1304","8/3/2013","HAW_HAMAKUA",20.26737649,-155.8629675,"2013","RAMP_BASIC",-1,0
"10","CPCE","MHI",2013,"Hawaii","HAW-01487","Forereef",5947,23.46845474,"Deep",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.79136691,3.597122302,0,0,0,0,0,0,0,0,0,0,0,5.755395683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.71942446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.316546763,8.633093525,0,0,0,0,0,0,0,0,0,0,42.44604317,23.74100719,0,0,0,0,0,150,139,"HA1304","8/4/2013","HAW_KONA",19.14996377,-155.9173019,"2013","RAMP_BASIC",-1,0
