SITEVISITID,DEPTH_BIN,SITE,OBS_YEAR,DATE_,new_MIN_DEPTH_M,new_MAX_DEPTH_M,LONGITUDE_LOV,LATITUDE_LOV,DEPTH,PESP,CCAH,CCAR,Acanthuridae,Scaridae,Browser,Concealed cropper,Cropper,Excavator,Scraper,ISLAND,SEC_NAME
3165,Shallow,HAW-00111,2010,10/12/2010,4,4,-155.8781193,19.93578823,4,0,1.060070671,0,3.791824685,3.942771871,1.263009393,0,1.61977717,0,3.942771871,Hawaii,HAW_KONA
3140,Mid,HAW-00136,2010,10/10/2010,12,12,-154.9769788,19.66447676,12,0,17.64705882,2.573529412,3.238871671,1.867455417,0.012505856,0,0.603449562,0,1.854949561,Hawaii,HAW_PUNA
3170,Deep,HAW-00138,2010,10/13/2010,20,27,-155.9163557,19.10705287,23.5,0,12.63537906,0,10.07458603,3.575468947,2.490728939,0,0.249044761,0,3.575468947,Hawaii,HAW_KONA
5936,Deep,HAW-01402,2013,8/3/2013,20.11581835,22.24931423,-155.75785,20.2405,21.18256629,0,2.409638554,0,NA,NA,NA,NA,NA,NA,NA,Hawaii,HAW_HAMAKUA
5937,Mid,HAW-01411,2013,8/3/2013,NA,12.80097531,-155.7517892,20.23514229,12.80097531,0,3.65448505,0,NA,NA,NA,NA,NA,NA,NA,Hawaii,HAW_HAMAKUA
5939,Mid,HAW-01448,2013,8/3/2013,12.80097531,13.71533069,-155.7918375,20.25085609,13.258153,0,1.384083045,0,NA,NA,NA,NA,NA,NA,NA,Hawaii,HAW_HAMAKUA
3123,Deep,HAW-00146,2010,10/8/2010,22,22,-155.7513162,20.23945042,22,0,3.780068729,0.343642612,9.184249002,4.500469278,0.380539462,0,0.332107179,0,4.500469278,Hawaii,HAW_HAMAKUA
5938,Mid,HAW-01468,2013,8/3/2013,NA,6.400487656,-155.8900548,20.24428267,6.400487656,0,2.341137124,0,NA,NA,NA,NA,NA,NA,NA,Hawaii,HAW_HAMAKUA
5942,Shallow,HAW-01476,2013,8/3/2013,5.486132277,6.09570253,-155.8629675,20.26737649,5.790917404,0,3.886925795,0,NA,NA,NA,NA,NA,NA,NA,Hawaii,HAW_HAMAKUA
5947,Deep,HAW-01487,2013,8/4/2013,22.55409936,23.46845474,-155.9173019,19.14996377,23.01127705,0,10.79136691,3.597122302,NA,NA,NA,NA,NA,NA,NA,Hawaii,HAW_KONA
